Ref,Codec,CRF,Comp,FileStream,PSNR_Y,PSNR_CB,PSNR_CR,SSIM,CAMBI,VMAF,BBAND,Height,Width,NumFrames,SI,TI,BBAND(Adaband)
GTAV_8.yuv,AV1,26,GTAV_8_AV1_CRF26_.yuv,GTAV_8_AV1_CRF26_.txt,46.00111357,51.95063248,51.57266652,0.99675264,5.474358667,93.87351081,0.7348765,1080,1920,300,40.9,11.2,0.426
HexagonTileLowSpeedLowGran_300frames_1920x1080.yuv,AV1,38,HexagonTileLowSpeedLowGran_300frames_1920x1080_AV1_CRF38_.yuv,HexagonTileLowSpeedLowGran_300frames_1920x1080_AV1_CRF38_.txt,44.71932506,49.62579376,50.57244123,0.99902651,5.37097426,99.98742876,0.6255527,1080,1920,300,64.8,24.8,0.198
HexagonTileLowSpeedLowGran_300frames_1920x1080.yuv,AV1,26,HexagonTileLowSpeedLowGran_300frames_1920x1080_AV1_CRF26_.yuv,HexagonTileLowSpeedLowGran_300frames_1920x1080_AV1_CRF26_.txt,46.0906343,51.21989618,52.24851754,0.999276387,5.98986216,99.988636,0.6529411,1080,1920,300,64.8,24.8,0.187
HexagonTileLowSpeedLowGran_300frames_1920x1080.yuv,AV1,13,HexagonTileLowSpeedLowGran_300frames_1920x1080_AV1_CRF13_.yuv,HexagonTileLowSpeedLowGran_300frames_1920x1080_AV1_CRF13_.txt,47.4074494,52.62329069,53.62625706,0.999440717,6.380358413,99.98916205,0.702342,1080,1920,300,64.8,24.8,0.184
MINECRAFT_4.yuv,AV1,63,MINECRAFT_4_AV1_CRF63_.yuv,MINECRAFT_4_AV1_CRF63_.txt,35.58888441,40.27209917,41.83517651,0.944974407,6.494244323,61.04817524,0.6899563,1080,1920,300,75.7,30.1,0.45
MINECRAFT_4.yuv,AV1,51,MINECRAFT_4_AV1_CRF51_.yuv,MINECRAFT_4_AV1_CRF51_.txt,39.97831721,45.46951135,46.10104251,0.983505937,7.157813193,84.79141807,0.6269395,1080,1920,300,75.7,30.1,0.34
MINECRAFT_4.yuv,AV1,38,MINECRAFT_4_AV1_CRF38_.yuv,MINECRAFT_4_AV1_CRF38_.txt,42.88138163,48.2242955,48.64288879,0.99302425,7.428875897,94.03846369,0.6441683,1080,1920,300,75.7,30.1,0.308
MINECRAFT_4.yuv,AV1,26,MINECRAFT_4_AV1_CRF26_.yuv,MINECRAFT_4_AV1_CRF26_.txt,45.76223299,50.3333946,50.58835783,0.9966472,7.690356717,97.60572375,0.6649084,1080,1920,300,75.7,30.1,0.292
MINECRAFT_4.yuv,AV1,13,MINECRAFT_4_AV1_CRF13_.yuv,MINECRAFT_4_AV1_CRF13_.txt,48.78237579,52.21079999,52.31638181,0.998318997,7.750371753,98.92660086,0.6804153,1080,1920,300,75.7,30.1,0.283
MINECRAFT_6.yuv,AV1,51,MINECRAFT_6_AV1_CRF51_.yuv,MINECRAFT_6_AV1_CRF51_.txt,39.13996825,44.4049565,45.54695619,0.982127743,5.705522627,91.39727201,0.5543443,1080,1920,300,90.5,24.4,0.278
MINECRAFT_6.yuv,AV1,38,MINECRAFT_6_AV1_CRF38_.yuv,MINECRAFT_6_AV1_CRF38_.txt,42.27411483,47.43478755,48.34275844,0.99333379,5.755752103,98.22040791,0.5586321,1080,1920,300,90.5,24.4,0.242
MINECRAFT_6.yuv,AV1,26,MINECRAFT_6_AV1_CRF26_.yuv,MINECRAFT_6_AV1_CRF26_.txt,45.52632054,49.79983352,50.45870445,0.99699073,5.932912677,99.3665341,0.5587576,1080,1920,300,90.5,24.4,0.232
MINECRAFT_6.yuv,AV1,13,MINECRAFT_6_AV1_CRF13_.yuv,MINECRAFT_6_AV1_CRF13_.txt,48.58502661,51.88834302,52.13197884,0.998484823,5.50513746,99.65798301,0.5414533,1080,1920,300,90.5,24.4,0.227
svt_smoke_sauna_3840x2160_50_10bit_420.yuv,H265,51,svt_smoke_sauna_3840x2160_50_10bit_420_H265_CRF51_.yuv,svt_smoke_sauna_3840x2160_50_10bit_420_H265_CRF51_.txt,32.36768102,38.16893177,41.96676232,0.908184708,5.289695446,13.79805018,0.9840629,1080,1920,130,27.2,7.73,0.833
wipe_3840x2160_5994_10bit_420_6309-6439.yuv,AV1,63,wipe_3840x2160_5994_10bit_420_6309-6439_AV1_CRF63_.yuv,wipe_3840x2160_5994_10bit_420_6309-6439_AV1_CRF63_.txt,47.72175917,49.69731021,54.56502763,0.997496592,18.61101547,85.06372676,1.56145,1080,1920,130,12.2,2.89,0.337
wipe_3840x2160_5994_10bit_420_6309-6439.yuv,AV1,38,wipe_3840x2160_5994_10bit_420_6309-6439_AV1_CRF38_.yuv,wipe_3840x2160_5994_10bit_420_6309-6439_AV1_CRF38_.txt,51.29036753,52.89343562,57.5667941,0.998883908,18.68286358,93.64217393,1.73914,1080,1920,130,12.2,2.89,0.327
wipe_3840x2160_5994_10bit_420_6309-6439.yuv,AV1,51,wipe_3840x2160_5994_10bit_420_6309-6439_AV1_CRF51_.yuv,wipe_3840x2160_5994_10bit_420_6309-6439_AV1_CRF51_.txt,50.2723884,51.67882946,56.24665308,0.998592577,18.80064351,92.38615894,1.761735,1080,1920,130,12.2,2.89,0.329
wipe_3840x2160_5994_10bit_420_6309-6439.yuv,AV1,26,wipe_3840x2160_5994_10bit_420_6309-6439_AV1_CRF26_.yuv,wipe_3840x2160_5994_10bit_420_6309-6439_AV1_CRF26_.txt,51.84693158,53.72951132,58.27583895,0.999079892,16.13926918,94.46650678,1.157615,1080,1920,130,12.2,2.89,0.33
wipe_3840x2160_5994_10bit_420_6309-6439.yuv,AV1,13,wipe_3840x2160_5994_10bit_420_6309-6439_AV1_CRF13_.yuv,wipe_3840x2160_5994_10bit_420_6309-6439_AV1_CRF13_.txt,52.27900778,54.33294865,58.55998478,0.999168169,17.10132864,95.06719401,1.287545,1080,1920,130,12.2,2.89,0.331
wipe_3840x2160_5994_10bit_420_6309-6439.yuv,AV1,1,wipe_3840x2160_5994_10bit_420_6309-6439_AV1_CRF1_.yuv,wipe_3840x2160_5994_10bit_420_6309-6439_AV1_CRF1_.txt,55.15833476,57.98958027,59.9823667,0.999690554,9.955125477,97.22228751,0.606006,1080,1920,130,12.2,2.89,0.31
WITCHER3_11.yuv,H265,51,WITCHER3_11_H265_CRF51_.yuv,WITCHER3_11_H265_CRF51_.txt,33.10749229,41.66069246,42.14196994,0.885933903,8.05276256,5.256109827,0.8862082,1080,1920,300,33.8,19.8,0.493
WITCHER3_11.yuv,H265,41,WITCHER3_11_H265_CRF41_.yuv,WITCHER3_11_H265_CRF41_.txt,36.55989481,44.38410894,44.83019354,0.95017269,6.067652393,44.56484133,0.6431934,1080,1920,300,33.8,19.8,0.422
WITCHER3_11.yuv,AV1,63,WITCHER3_11_AV1_CRF63_.yuv,WITCHER3_11_AV1_CRF63_.txt,36.62494342,44.87697164,45.24255139,0.949900367,9.529463853,43.25226173,0.7504471,1080,1920,300,33.8,19.8,0.398
WITCHER3_11.yuv,AV1,51,WITCHER3_11_AV1_CRF51_.yuv,WITCHER3_11_AV1_CRF51_.txt,39.65696295,47.29332114,47.94461523,0.98273057,7.417265907,73.60745322,0.6758184,1080,1920,300,33.8,19.8,0.421
WITCHER3_11.yuv,AV1,38,WITCHER3_11_AV1_CRF38_.yuv,WITCHER3_11_AV1_CRF38_.txt,41.7553721,48.49221435,49.1970078,0.991762277,6.053306057,84.93432889,0.6428674,1080,1920,300,33.8,19.8,0.425
