Ref,Codec,CRF,Comp,FileStream,PSNR_Y,PSNR_CB,PSNR_CR,SSIM,CAMBI,VMAF,BBAND,Height,Width,NumFrames,SI,TI,BBAND(Adaband)
aom_nocturne_3840x2160_60_hdr10_9010-9349.yuv,AV1,38,aom_nocturne_3840x2160_60_hdr10_9010-9349_AV1_CRF38_.yuv,aom_nocturne_3840x2160_60_hdr10_9010-9349_AV1_CRF38_.txt,46.19398036,44.76604335,52.86280529,0.994759631,12.6173143,76.95583288,0.9247422,1080,1920,130,5.97,1.98,0.393
aom_nocturne_3840x2160_60_hdr10_9010-9349.yuv,AV1,51,aom_nocturne_3840x2160_60_hdr10_9010-9349_AV1_CRF51_.yuv,aom_nocturne_3840x2160_60_hdr10_9010-9349_AV1_CRF51_.txt,45.90723056,44.49570325,52.25239966,0.994226608,11.70805715,75.71806649,0.8459315,1080,1920,130,5.97,1.98,0.397
aom_nocturne_3840x2160_60_hdr10_9010-9349.yuv,AV1,26,aom_nocturne_3840x2160_60_hdr10_9010-9349_AV1_CRF26_.yuv,aom_nocturne_3840x2160_60_hdr10_9010-9349_AV1_CRF26_.txt,46.34982007,44.89139277,53.23189578,0.995060477,11.99131122,77.51648616,0.9309795,1080,1920,130,5.97,1.98,0.391
aom_nocturne_3840x2160_60_hdr10_9010-9349.yuv,AV1,13,aom_nocturne_3840x2160_60_hdr10_9010-9349_AV1_CRF13_.yuv,aom_nocturne_3840x2160_60_hdr10_9010-9349_AV1_CRF13_.txt,46.72583687,45.77444969,53.41675969,0.995874169,12.24978779,80.81130337,0.9450388,1080,1920,130,5.97,1.98,0.385
AStreetDancerS3IRIS_3840x2176_24fps_10bit_420.yuv,H265,51,AStreetDancerS3IRIS_3840x2176_24fps_10bit_420_H265_CRF51_.yuv,AStreetDancerS3IRIS_3840x2176_24fps_10bit_420_H265_CRF51_.txt,32.82792097,39.16460105,42.54119411,0.916747172,7.4178555,30.69100711,0.9035294,2176,3840,64,24.2,30,0.58
AStreetDancerS3IRIS_3840x2176_24fps_10bit_420.yuv,AV1,63,AStreetDancerS3IRIS_3840x2176_24fps_10bit_420_AV1_CRF63_.yuv,AStreetDancerS3IRIS_3840x2176_24fps_10bit_420_AV1_CRF63_.txt,37.0736373,43.07959908,46.0116462,0.976632844,5.819086266,56.62840364,0.7417841,2176,3840,64,24.2,30,0.528
AStreetDancerS3IRIS_3840x2176_24fps_10bit_420.yuv,AV1,51,AStreetDancerS3IRIS_3840x2176_24fps_10bit_420_AV1_CRF51_.yuv,AStreetDancerS3IRIS_3840x2176_24fps_10bit_420_AV1_CRF51_.txt,41.92626713,46.78901247,49.51768038,0.992976984,5.297783188,80.85334558,0.5776021,2176,3840,64,24.2,30,0.288
AStreetDancerS5IRIS_3840x2176_24fps_10bit_420.yuv,H265,51,AStreetDancerS5IRIS_3840x2176_24fps_10bit_420_H265_CRF51_.yuv,AStreetDancerS5IRIS_3840x2176_24fps_10bit_420_H265_CRF51_.txt,32.80978747,40.83627283,42.7941347,0.922206156,5.942224109,31.38725544,0.7197665,2176,3840,64,25.4,23.5,0.435
AStreetDancerS5IRIS_3840x2176_24fps_10bit_420.yuv,AV1,63,AStreetDancerS5IRIS_3840x2176_24fps_10bit_420_AV1_CRF63_.yuv,AStreetDancerS5IRIS_3840x2176_24fps_10bit_420_AV1_CRF63_.txt,37.36633911,44.13024978,46.53168388,0.97843475,6.133799219,56.32418566,0.9162172,2176,3840,64,25.4,23.5,0.512
AStreetDancerS5IRIS_3840x2176_24fps_10bit_420.yuv,AV1,51,AStreetDancerS5IRIS_3840x2176_24fps_10bit_420_AV1_CRF51_.yuv,AStreetDancerS5IRIS_3840x2176_24fps_10bit_420_AV1_CRF51_.txt,42.35127844,47.46750114,49.78636886,0.993926328,5.817673266,81.87697102,0.6049071,2176,3840,64,25.4,23.5,0.28
AStreetDancerS5IRIS_3840x2176_24fps_10bit_420.yuv,AV1,38,AStreetDancerS5IRIS_3840x2176_24fps_10bit_420_AV1_CRF38_.yuv,AStreetDancerS5IRIS_3840x2176_24fps_10bit_420_AV1_CRF38_.txt,45.10334778,49.37371703,51.4424618,0.997271891,5.54658825,93.25239423,0.5709402,2176,3840,64,25.4,23.5,0.283
BHamsterBVIHFR_1920x1088_120fps_10bit_420.yuv,H264,41,BHamsterBVIHFR_1920x1088_120fps_10bit_420_H264_CRF41_.yuv,BHamsterBVIHFR_1920x1088_120fps_10bit_420_H264_CRF41_.txt,32.68175745,36.23216756,41.26926613,0.952701828,6.414404094,59.50535258,0.8537898,1088,1920,64,60.5,18.9,0.248
BHamsterBVIHFR_1920x1088_120fps_10bit_420.yuv,H264,51,BHamsterBVIHFR_1920x1088_120fps_10bit_420_H264_CRF51_.yuv,BHamsterBVIHFR_1920x1088_120fps_10bit_420_H264_CRF51_.txt,26.35279334,33.18614616,37.7149317,0.611506516,5.033964641,19.05884719,1.15583,1088,1920,64,60.5,18.9,0.535
CLakeYonseiUniversity_960x544_30fps_10bit_420.yuv,H265,51,CLakeYonseiUniversity_960x544_30fps_10bit_420_H265_CRF51_.yuv,CLakeYonseiUniversity_960x544_30fps_10bit_420_H265_CRF51_.txt,24.23453817,36.33158561,38.9252628,0.552976016,5.100761578,15.47921681,1.273993,544,960,64,76.7,12.4,0.858
CSGO_0.yuv,AV1,63,CSGO_0_AV1_CRF63_.yuv,CSGO_0_AV1_CRF63_.txt,43.11848495,51.98975886,52.9146182,0.9958669,15.72341222,92.74315903,0.877138,1080,1920,300,75,19.9,0.23
CSGO_0.yuv,AV1,51,CSGO_0_AV1_CRF51_.yuv,CSGO_0_AV1_CRF51_.txt,49.04742608,57.11327822,58.53873037,0.99833825,16.97731306,96.78823674,0.9125691,1080,1920,300,75,19.9,0.21
CSGO_0.yuv,AV1,38,CSGO_0_AV1_CRF38_.yuv,CSGO_0_AV1_CRF38_.txt,51.85441843,59.26977085,59.76452251,0.99902304,17.73674921,97.4300163,1.033503,1080,1920,300,75,19.9,0.201
CSGO_0.yuv,AV1,26,CSGO_0_AV1_CRF26_.yuv,CSGO_0_AV1_CRF26_.txt,53.41977006,59.50701145,59.84848376,0.99933555,17.93371399,97.5276275,1.108567,1080,1920,300,75,19.9,0.209
CSGO_0.yuv,AV1,13,CSGO_0_AV1_CRF13_.yuv,CSGO_0_AV1_CRF13_.txt,54.28888072,59.56160831,59.87529581,0.999496323,18.13427261,97.6002768,1.166325,1080,1920,300,75,19.9,0.215
CSGO_0.yuv,AV1,1,CSGO_0_AV1_CRF1_.yuv,CSGO_0_AV1_CRF1_.txt,56.57777594,59.78165586,59.96641846,0.999795167,11.38378289,97.69162433,0.6803531,1080,1920,300,75,19.9,0.206
CSGO_11.yuv,H264,51,CSGO_11_H264_CRF51_.yuv,CSGO_11_H264_CRF51_.txt,27.73711013,38.54439625,38.59525561,0.786922927,5.044083143,17.59594918,0.9569402,1080,1920,300,70.8,28.1,0.667
CSGO_11.yuv,AV1,63,CSGO_11_AV1_CRF63_.yuv,CSGO_11_AV1_CRF63_.txt,35.56632423,43.49614506,43.25095461,0.934800213,6.27732661,63.40150836,0.6562585,1080,1920,300,70.8,28.1,0.44
DCrosswalkHongKongVidevo_480x272_25fps_10bit_420.yuv,H264,51,DCrosswalkHongKongVidevo_480x272_25fps_10bit_420_H264_CRF51_.yuv,DCrosswalkHongKongVidevo_480x272_25fps_10bit_420_H264_CRF51_.txt,23.42664159,33.45741811,32.48449383,0.631694828,5.260523266,8.783029203,1.266225,272,480,64,78.8,20,1.14
DDrivingPOVHarmonics_480x272_60fps_10bit_420.yuv,AV1,63,DDrivingPOVHarmonics_480x272_60fps_10bit_420_AV1_CRF63_.yuv,DDrivingPOVHarmonics_480x272_60fps_10bit_420_AV1_CRF63_.txt,29.60637925,37.55113345,40.08401283,0.889094109,5.224090016,74.47521491,0.568209,272,480,64,115,11.5,0.237
DFireS71Mitch_480x272_24fps_10bit_420.yuv,H264,41,DFireS71Mitch_480x272_24fps_10bit_420_H264_CRF41_.yuv,DFireS71Mitch_480x272_24fps_10bit_420_H264_CRF41_.txt,26.82919005,34.96852152,34.24262183,0.840668063,5.886785781,42.88623544,1.543448,272,480,64,99.9,54.2,0.368
DFireS71Mitch_480x272_24fps_10bit_420.yuv,H264,51,DFireS71Mitch_480x272_24fps_10bit_420_H264_CRF51_.yuv,DFireS71Mitch_480x272_24fps_10bit_420_H264_CRF51_.txt,21.65803463,31.02156836,30.44941902,0.713051062,9.300691656,10.16852614,1.3817,272,480,64,99.9,54.2,0.693
Dolby_Amaze_Lossless-ATMOS-thedigitaltheater_10.yuv,H264,41,Dolby_Amaze_Lossless-ATMOS-thedigitaltheater_10_H264_CRF41_.yuv,Dolby_Amaze_Lossless-ATMOS-thedigitaltheater_10_H264_CRF41_.txt,34.49037583,43.46931491,42.22344509,0.920817008,9.458273192,47.75378906,0.7191872,1080,1920,120,45.1,10.3,0.467
Dolby_Amaze_Lossless-ATMOS-thedigitaltheater_10.yuv,H265,51,Dolby_Amaze_Lossless-ATMOS-thedigitaltheater_10_H265_CRF51_.yuv,Dolby_Amaze_Lossless-ATMOS-thedigitaltheater_10_H265_CRF51_.txt,30.52436391,38.96097817,37.69515162,0.841998083,6.008451358,27.03621818,0.7650486,1080,1920,120,45.1,10.3,0.485
Dolby_Amaze_Lossless-ATMOS-thedigitaltheater_10.yuv,H265,41,Dolby_Amaze_Lossless-ATMOS-thedigitaltheater_10_H265_CRF41_.yuv,Dolby_Amaze_Lossless-ATMOS-thedigitaltheater_10_H265_CRF41_.txt,35.46401628,42.07569576,40.69869582,0.929681325,5.136746517,53.28823049,0.6415145,1080,1920,120,45.1,10.3,0.457
Dolby_Amaze_Lossless-ATMOS-thedigitaltheater_10.yuv,AV1,63,Dolby_Amaze_Lossless-ATMOS-thedigitaltheater_10_AV1_CRF63_.yuv,Dolby_Amaze_Lossless-ATMOS-thedigitaltheater_10_AV1_CRF63_.txt,34.12369053,42.06342217,40.4483117,0.907215417,7.585143533,48.22631661,0.6935498,1080,1920,120,45.1,10.3,0.431
Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4.yuv,H264,41,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4_H264_CRF41_.yuv,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4_H264_CRF41_.txt,36.38160253,42.91294639,43.10892532,0.9606899,10.77933825,52.66521459,0.7270213,1080,1920,120,42.1,33.5,0.434
Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4.yuv,H264,51,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4_H264_CRF51_.yuv,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4_H264_CRF51_.txt,29.75461213,39.62082897,38.14868655,0.838323183,5.262607492,5.287880583,1.11357,1080,1920,120,42.1,33.5,0.757
Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4.yuv,H264,21,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4_H264_CRF21_.yuv,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4_H264_CRF21_.txt,49.60065446,51.31088728,51.44939398,0.998913517,10.90818641,97.04077263,0.693384,1080,1920,120,42.1,33.5,0.271
Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4.yuv,H264,31,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4_H264_CRF31_.yuv,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4_H264_CRF31_.txt,42.79363355,46.24880225,47.14753719,0.992759183,13.822941,86.29280864,0.6925785,1080,1920,120,42.1,33.5,0.308
